,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
141,Ni-S,1,1.8677373886993,1.8677373886993,,1.8677373886993,1.8677373886993,0.0,1.8677373886993,1.8677373886993,0.0
142,O-Pb,1,2.994523412300276,2.994523412300276,,2.994523412300276,2.994523412300276,0.0,2.994523412300276,2.994523412300276,0.0
143,O-Pd,1,2.9030065367266014,2.9030065367266014,,2.9030065367266014,2.9030065367266014,0.0,2.9030065367266014,2.9030065367266014,0.0
144,O-Pt,1,3.5927850378282535,3.5927850378282535,,3.5927850378282535,3.5927850378282535,0.0,3.5927850378282535,3.5927850378282535,0.0
145,O-Sc,2,2.88767452423759,2.88767452423759,2.168195918836259,1.354528487087474,4.420820561387706,3.066292074300232,2.121101505662532,3.654247542812648,1.5331460371501158
146,O-Sn,2,4.1575077103859925,4.1575077103859925,1.8197294041332017,2.87076470879885,5.444250711973135,2.5734860031742848,3.5141362095924213,4.800879211179564,1.2867430015871424
147,O-Ti,2,4.833461402478095,4.833461402478095,1.2987194360123475,3.915128082414996,5.751794722541195,1.8366666401261993,4.374294742446546,5.292628062509645,0.9183333200630992
148,O-W,1,2.7062253623509047,2.7062253623509047,,2.7062253623509047,2.7062253623509047,0.0,2.7062253623509047,2.7062253623509047,0.0
149,O-Zr,2,6.0785621777953125,6.0785621777953125,2.324176599065773,4.435121143920816,7.722003211669808,3.2868820677489916,5.256841660858064,6.90028269473256,1.6434410338744962
150,Pb-S,2,1.9940683016617384,1.9940683016617384,0.32711651164998573,1.7627619980359452,2.2253746052875316,0.46261260725158637,1.8784151498488417,2.109721453474635,0.2313063036257934
151,Pb-Se,2,1.0057128215908204,1.0057128215908204,0.8727586257814542,0.38857927896170175,1.622846364219939,1.2342670852582374,0.6971460502762611,1.3142795929053799,0.6171335426291188
152,Pb-Te,1,1.246060092501092,1.246060092501092,,1.246060092501092,1.246060092501092,0.0,1.246060092501092,1.246060092501092,0.0
153,Pd-S,1,2.440632536986956,2.440632536986956,,2.440632536986956,2.440632536986956,0.0,2.440632536986956,2.440632536986956,0.0
154,Pd-Se,1,1.614912444190729,1.614912444190729,,1.614912444190729,1.614912444190729,0.0,1.614912444190729,1.614912444190729,0.0
155,Pt-S,1,2.9450723931526674,2.9450723931526674,,2.9450723931526674,2.9450723931526674,0.0,2.9450723931526674,2.9450723931526674,0.0
156,Pt-Se,1,2.380966208275626,2.380966208275626,,2.380966208275626,2.380966208275626,0.0,2.380966208275626,2.380966208275626,0.0
